sample,epoch_seconds,rss_kb,cpu_percent,cpu_time
79,1786303043.427927,207264,139.0,0:19.70
80,1786303043.580796,207600,147.3,0:19.99
81,1786303043.736020,207840,159.0,0:20.26
82,1786303043.884106,208176,167.5,0:20.54
83,1786303044.034966,208368,179.9,0:20.83
84,1786303044.200045,208560,186.5,0:21.15
85,1786303044.354905,208832,182.5,0:21.42
86,1786303044.517800,209088,180.5,0:21.70
87,1786303044.704728,209264,161.5,0:21.90
88,1786303044.882984,209536,138.6,0:22.13
89,1786303045.043978,209808,136.2,0:22.37
90,1786303045.220111,210096,148.2,0:22.61
91,1786303045.381641,210224,121.8,0:22.78
92,1786303045.533089,210480,144.4,0:23.05
93,1786303045.692791,210784,154.8,0:23.32
94,1786303045.860985,211056,163.8,0:23.63
95,1786303046.026584,211312,173.3,0:23.92
96,1786303046.192591,211584,173.2,0:24.18
97,1786303046.363562,211792,159.9,0:24.41
98,1786303046.529614,212000,144.9,0:24.63
99,1786303046.677932,212208,141.1,0:24.86
100,1786303046.843922,212432,147.9,0:25.11
101,1786303047.003945,212720,149.8,0:25.40
102,1786303047.162274,213024,172.1,0:25.69
103,1786303047.324657,213200,173.1,0:25.97
104,1786303047.487749,213584,174.0,0:26.26
105,1786303047.655645,213840,170.3,0:26.52
106,1786303047.830097,213968,156.6,0:26.75
107,1786303048.004088,214224,143.9,0:26.99
108,1786303048.170186,214528,146.0,0:27.26
109,1786303048.326802,214832,156.7,0:27.54
110,1786303048.479593,215120,162.9,0:27.81
111,1786303048.633144,215344,170.8,0:28.10
112,1786303048.789129,215568,181.4,0:28.39
113,1786303048.945815,216416,165.4,0:28.57
114,1786303049.105880,216416,141.6,0:28.72
115,1786303049.261920,216496,123.2,0:28.88
116,1786303049.417662,216592,107.0,0:29.04
117,1786303049.566868,216624,105.8,0:29.19
118,1786303049.718973,216688,102.1,0:29.34
119,1786303049.867417,216720,102.1,0:29.49
120,1786303050.016176,216864,99.6,0:29.64
121,1786303050.161972,216960,100.0,0:29.79
122,1786303050.306638,217072,99.0,0:29.94
123,1786303050.453744,217152,100.2,0:30.08
124,1786303050.590521,217184,100.0,0:30.22
125,1786303050.722373,217312,99.3,0:30.36
126,1786303050.853841,217376,99.7,0:30.49
127,1786303050.984164,217488,100.0,0:30.62
128,1786303051.132985,217504,98.2,0:30.76
